Date,Venue,Festival,City_Country,Lat,Long,Tour,Set,Last_track_Set,Encores,Last_track_Encore,Encores_Count,Set_Length,Other_Acts,Has_Guitar_Solo,Has_Bass_Solo,Has_Drum_Solo,Has_Doodle,Has_Medley,Kill_'Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count
12/9/2018,Save Mart Center,,"Fresno, California, United States",36.7377981,-119.7871247,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Ride the Lightning', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,4,2,1,1,0,1,0,0,0,4
12/7/2018,Golden 1 Center,,"Sacramento, California, United States",38.5815719,-121.4943996,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Whiplash', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Battery', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,2,2,2,2,0,0,0,0,0,5
12/5/2018,Moda Center,,"Portland, Oregon, United States",45.5122308,-122.6587185,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'No Remorse', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,3,2,1,2,0,1,0,0,0,4
12/2/2018,Spokane Arena,,"Spokane, Washington, United States",47.6587802,-117.4260465,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'The Day That Never Comes', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Blackened', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,2,2,1,2,0,0,0,0,1,5
11/30/2018,Vivint Smart Home Arena,,"Salt Lake City, Utah, United States",40.7607793,-111.8910474,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Whiplash', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,2,2,1,2,0,1,0,0,0,5
11/28/2018,Taco Bell Arena,,"Boise, Idaho, United States",43.6150186,-116.2023137,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Memory Remains', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'The Four Horsemen', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,2,2,1,2,0,2,0,0,0,4
11/26/2018,T-Mobile Arena,,"Las Vegas, Nevada, United States",36.1699412,-115.1398296,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,3,1,2,2,0,1,0,0,0,4
11/3/2018,The Masonic,The All Within My Hands Helping Hands Concert & Auction,"San Francisco, California, United States",37.7749295,-122.4194155,,"['Disposable Heroes', 'When a Blind Man Cries', 'The Unforgiven', ""Please Don't Judas Me"", 'Turn the Page', 'Bleeding Me', 'Veteran of the Psychic Wars', 'Nothing Else Matters', 'All Within My Hands', 'Enter Sandman', 'The Four Horsemen', 'Hardwired']",Hardwired,[],,0,12,['Cage the Elephant'],False,False,False,False,False,1,0,1,0,3,1,0,1,1,0,1
10/29/2018,Times Union Center,,"Albany, New York, United States",42.6525793,-73.7562317,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Creeping Death', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,2,2,1,2,0,1,0,0,0,5
10/27/2018,Keybank Center,,"Buffalo, New York, United States",42.8864468,-78.8783689,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Halo On Fire', 'The Four Horsemen', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Battery', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,2,2,1,3,0,0,0,0,0,5
