Date,City_Country,State,Country,Latitude,Longitude,Tour,Encores_Count,Set_Length,Kill_Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count,1 Track,2 Track,3 Track,4 Track,5 Track,6 Track,7 Track,8 Track,9 Track,10 Track,11 Track,12 Track,13 Track,14 Track,15 Track,16 Track,17 Track,18 Track,19 Track,20 Track,21 Track,22 Track,Last_track_Set,1 Encore,2 Encore,3 Encore,4 Encore,Last_track_Encore
09.12.2018,Fresno,California,United States,36.7377981,-119.7871247,WorldWired,3,15,1,4,2,1,1,0,1,0,0,0,4,Hardwired,"Atlas,Rise!",Seek and Destroy,Ride the Lightning,Welcome Home (Sanitarium),Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Fade to Black,Hit the Lights,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
07.12.2018,Sacramento,California,United States,38.5815719,-121.4943996,WorldWired,3,15,1,2,2,2,2,0,0,0,0,0,5,Hardwired,"Atlas,Rise!",Seek and Destroy,The Shortest Straw,The Unforgiven,Now That Were Dead,Confusion,For Whom the Bell Tolls,Welcome Home (Sanitarium),Whiplash,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,Enter Sandman
05.12.2018,Portland,Oregon,United States,45.5122308,-122.6587185,WorldWired,3,15,1,3,2,1,2,0,1,0,0,0,4,Hardwired,"Atlas,Rise!",Seek and Destroy,Holier Than Thou,Welcome Home (Sanitarium),Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Fade to Black,No Remorse,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
02.12.2018,Spokane,Washington,United States,47.6587802,-117.4260465,WorldWired,3,15,1,2,2,1,2,0,0,0,0,1,5,Hardwired,"Atlas,Rise!",Seek and Destroy,Leper Messiah,The Unforgiven,Now That Were Dead,Confusion,For Whom the Bell Tolls,The Day That Never Comes,Motorbreath,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,Enter Sandman
30.11.2018,Salt Lake City,Utah,United States,40.7607793,-111.8910474,WorldWired,3,15,1,2,2,1,2,0,1,0,0,0,5,Hardwired,"Atlas,Rise!",Seek and Destroy,Through the Never,Welcome Home (Sanitarium),Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Halo On Fire,Whiplash,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,Enter Sandman
28.11.2018,Boise,Idaho,United States,43.6150186,-116.2023137,WorldWired,3,15,1,2,2,1,2,0,2,0,0,0,4,Hardwired,"Atlas,Rise!",Seek and Destroy,The Memory Remains,The Unforgiven,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Welcome Home (Sanitarium),The Four Horsemen,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
26.11.2018,Las Vegas,Nevada,United States,36.1699412,-115.1398296,WorldWired,3,15,1,3,1,2,2,0,1,0,0,0,4,Hardwired,"Atlas,Rise!",Seek and Destroy,Harvester of Sorrow,The Unforgiven,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Fade to Black,Hit the Lights,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
03.11.2018,San Francisco,California,United States,37.7749295,-122.4194155,,0,11,1,0,1,0,3,1,0,1,1,0,1,Disposable Heroes,When a Blind Man Cries,Please Dont Judas Me,Turn the Page,Bleeding Me,Veteran of the Psychic Wars,Nothing Else Matters,All Within My Hands,Enter Sandman,The Four Horsemen,Hardwired,,,,,,,,,,,,Hardwired,,,,,
29.10.2018,Albany,New York,United States,42.6525793,-73.7562317,WorldWired,3,15,1,2,2,1,2,0,1,0,0,0,5,Hardwired,"Atlas,Rise!",Seek and Destroy,Creeping Death,Welcome Home (Sanitarium),Now That Were Dead,Confusion,For Whom the Bell Tolls,Wherever I May Roam,Hit the Lights,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,Enter Sandman
27.10.2018,Buffalo,New York,United States,42.8864468,-78.8783689,WorldWired,3,15,1,2,2,1,3,0,0,0,0,0,5,Hardwired,"Atlas,Rise!",Seek and Destroy,Leper Messiah,The Unforgiven,Now That Were Dead,Wherever I May Roam,For Whom the Bell Tolls,Halo On Fire,The Four Horsemen,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,Enter Sandman
25.10.2018,Philadelphia,Pennsylvania,United States,39.9525839,-75.1652215,WorldWired,3,15,1,2,2,2,1,0,1,0,0,1,4,Hardwired,"Atlas,Rise!",Seek and Destroy,Harvester of Sorrow,The Day That Never Comes,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Welcome Home (Sanitarium),Phantom Lord,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
22.10.2018,Charlotte,North Carolina,United States,35.2270869,-80.8431267,WorldWired,3,15,1,3,1,1,4,0,0,0,0,0,4,Hardwired,"Atlas,Rise!",Seek and Destroy,Through the Never,The Unforgiven,Now That Were Dead,Wherever I May Roam,For Whom the Bell Tolls,Fade to Black,Motorbreath,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
20.10.2018,State College,Pennsylvania,United States,40.7933949,-77.8600012,WorldWired,3,15,1,3,1,1,2,0,1,0,0,0,5,Hardwired,"Atlas,Rise!",Seek and Destroy,Holier Than Thou,Fade to Black,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Halo On Fire,Hit the Lights,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,Enter Sandman
